Asset NO.(SAP),รหัสครุภัณฑ์,รายละเอียดสินทรัพย์,วันที่ขึ้นทะเบียนสินทรัพย์,หน่วยนับ,Price,life_time,ชนิด,ลักษณะ,หน่วยงาน,ชื่อหน่วยงาน
10000016175,630101401000372,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 406,000 Btu/hr. (CONDENSING UNIT ชั้นที่ 1-4)",2020-09-24,เครื่อง,1401708.65,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000016177,630101401000373,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 406,000 Btu/hr. (CONDENSING UNIT ชั้นที่ 1-4)",2020-09-24,เครื่อง,1401708.65,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000016179,630101401000374,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 406,000 Btu/hr. (CONDENSING UNIT ชั้นที่ 1-4)",2020-09-24,เครื่อง,1401708.65,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000016181,630101401000485,"เครื่องปรับอากาศ เครื่องปรับอากาศขนาด 347,000 Btu/hr. (CONDENSING UNIT ชั้นที่ 5-10)",2020-09-24,เครื่อง,1215616.63,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000016183,630101401000486,"เครื่องปรับอากาศ เครื่องปรับอากาศขนาด 347,000 Btu/hr. (CONDENSING UNIT ชั้นที่ 5-10)",2020-09-24,เครื่อง,1215616.63,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000016185,630101401000487,"เครื่องปรับอากาศ เครื่องปรับอากาศขนาด 347,000 Btu/hr. (CONDENSING UNIT ชั้นที่ 5-10)",2020-09-24,เครื่อง,1215616.63,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000016187,630101401000488,"เครื่องปรับอากาศ เครื่องปรับอากาศขนาด 347,000 Btu/hr. (CONDENSING UNIT ชั้นที่ 5-10)",2020-09-24,เครื่อง,1215616.63,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000016189,630101401000489,"เครื่องปรับอากาศ เครื่องปรับอากาศขนาด 500,000 Btu/Hr. (CONDENSING UNIT ชั้นที่ 5-10)",2020-09-24,เครื่อง,1710337.3299999998,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000016191,630101401000490,"เครื่องปรับอากาศ เครื่องปรับอากาศขนาด 500,000 Btu/Hr. (CONDENSING UNIT ชั้นที่ 5-10)",2020-09-24,เครื่อง,1710337.3299999998,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000016192,630101502000082,พัดลมดูดอากาศ พัดลมระบายอากาศ CEILING Fan type 50 CFM.,2020-09-24,เครื่อง,13240.7,5.0,A015 พัดลม,A023 พัดลมดูดอากาศ,0213,กองอาคารสถานที่
